1,16,0
2,16,0
4,16,0
8,16,0
1,32,0
2,32,0
4,32,0
8,32,0
1,64,0
2,64,0
4,64,0
8,64,0
1,128,0
2,128,0
4,128,0
8,128,0
1,256,0
2,256,0
4,256,0
8,256,0
1,512,0
2,512,0
4,512,0
8,512,0
1,1024,0
2,1024,0
4,1024,0
8,1024,0
1,2048,0
2,2048,0
4,2048,0
8,2048,0
1,4096,1
2,4096,0
4,4096,0
8,4096,0
1,8192,2
2,8192,0
4,8192,0
8,8192,0
1,16384,6
2,16384,3
4,16384,3
8,16384,2
1,32768,18
2,32768,9
4,32768,8
8,32768,9
1,65536,34
2,65536,14
4,65536,13
8,65536,14
1,131072,61
2,131072,34
4,131072,23
8,131072,27
1,262144,141
2,262144,73
4,262144,65
8,262144,46
1,524288,292
2,524288,150
4,524288,127
8,524288,100
1,1048576,541
2,1048576,282
4,1048576,222
8,1048576,165
1,2097152,1101
2,2097152,578
4,2097152,422
8,2097152,317
1,4194304,2195
2,4194304,1173
4,4194304,841
8,4194304,651
1,8388608,4688
2,8388608,2457
4,8388608,1717
8,8388608,1345
1,16777216,12491
2,16777216,6244
4,16777216,3649
8,16777216,2788
