16,1,0
16,2,0
16,4,0
16,8,0
32,1,0
32,2,0
32,4,0
32,8,0
64,1,0
64,2,0
64,4,0
64,8,0
128,1,0
128,2,0
128,4,0
128,8,0
256,1,0
256,2,0
256,4,0
256,8,0
512,1,0
512,2,0
512,4,0
512,8,0
1024,1,0
1024,2,0
1024,4,0
1024,8,0
2048,1,0
2048,2,0
2048,4,0
2048,8,0
4096,1,1
4096,2,0
4096,4,0
4096,8,0
8192,1,2
8192,2,0
8192,4,0
8192,8,0
16384,1,6
16384,2,3
16384,4,3
16384,8,2
32768,1,18
32768,2,9
32768,4,8
32768,8,9
65536,1,34
65536,2,14
65536,4,13
65536,8,14
131072,1,61
131072,2,34
131072,4,23
131072,8,27
262144,1,141
262144,2,73
262144,4,65
262144,8,46
524288,1,292
524288,2,150
524288,4,127
524288,8,100
1048576,1,541
1048576,2,282
1048576,4,222
1048576,8,165
2097152,1,1101
2097152,2,578
2097152,4,422
2097152,8,317
4194304,1,2195
4194304,2,1173
4194304,4,841
4194304,8,651
8388608,1,4688
8388608,2,2457
8388608,4,1717
8388608,8,1345
16777216,1,12491
16777216,2,6244
16777216,4,3649
16777216,8,2788
